Layer,Threshold,ThresholdLabel,ParamCount,TotalTrades,WinTrades,WinRate,NetPoints,NetProfitTWD,TotalReturnRate,MDDNetPointsSum,MDDRateSum,MDDNetPointsMax,MDDRateMax,PFNet
小台日盤,0.5,勝率 > 50%,201,1439,907,0.6302988186240445,11463.32,573166.0,2.292664,7894.900000000001,1.57898,454.1,0.09082,1.7495677828896947
小台日盤,0.6,勝率 > 60%,155,477,378,0.7924528301886793,9990.8,499540.0,1.99816,2226.88,0.445376,231.8,0.04636,4.651448035904858
小台日盤,0.7,勝率 > 70%,128,300,260,0.8666666666666667,8034.08,401704.0,1.606816,1231.36,0.246272,231.8,0.04636,6.377995555198543
小台日盤,0.8,勝率 > 80%,112,165,160,0.9696969696969696,6205.04,310252.0,1.241008,229.76,0.045952,62.0,0.0124,27.426916524701877
小台日盤,0.9,勝率 > 90%,108,135,135,1.0,5656.480000000001,282824.0,1.131296,0.0,0.0,0.0,0.0,inf
小台日盤,1.0,勝率 = 100%,108,135,135,1.0,5656.480000000001,282824.0,1.131296,0.0,0.0,0.0,0.0,inf
小台全日,0.5,勝率 > 50%,271,1624,1054,0.6490147783251231,26014.2,1300710.0,5.20284,9285.18,1.857036,567.56,0.1135119999999999,2.4895251924446717
小台全日,0.6,勝率 > 60%,228,616,493,0.8003246753246753,21318.68,1065934.0,4.263736,2746.5600000000004,0.5493120000000001,245.36000000000004,0.049072,6.674630806741835
小台全日,0.7,勝率 > 70%,195,360,327,0.9083333333333332,18768.92,938446.0,3.753784,966.56,0.193312,131.44,0.026288,17.97500180884162
小台全日,0.8,勝率 > 80%,178,251,246,0.9800796812749004,17081.980000000003,854099.0,3.416396,88.36,0.017672,35.480000000000004,0.007096,194.32254413761888
小台全日,0.9,勝率 > 90%,173,218,218,1.0,16453.46,822673.0,3.290692,0.0,0.0,0.0,0.0,inf
小台全日,1.0,勝率 = 100%,173,218,218,1.0,16453.46,822673.0,3.290692,0.0,0.0,0.0,0.0,inf
大台日盤,0.5,勝率 > 50%,232,1634,1023,0.6260709914320686,13280.329999999998,2656066.0,2.656066,8251.495,1.6502990000000002,480.4,0.09608,1.8118690099020496
大台日盤,0.6,勝率 > 60%,187,622,474,0.7620578778135049,10596.350000000002,2119270.0,2.11927,3118.42,0.623684,318.265,0.063653,3.380025605318719
大台日盤,0.7,勝率 > 70%,151,309,273,0.883495145631068,7965.695,1593139.0,1.593139,1053.965,0.2107929999999999,164.385,0.032877,7.452776922703043
大台日盤,0.8,勝率 > 80%,131,192,185,0.9635416666666666,6444.9,1288980.0,1.28898,241.03,0.048206,66.07,0.0132139999999999,27.01687388987566
大台日盤,0.9,勝率 > 90%,125,146,146,1.0,5030.129999999999,1006026.0,1.006026,0.0,0.0,0.0,0.0,inf
大台日盤,1.0,勝率 = 100%,125,146,146,1.0,5030.129999999999,1006026.0,1.006026,0.0,0.0,0.0,0.0,inf
大台全日,0.5,勝率 > 50%,285,1716,1105,0.6439393939393939,21610.7,4322140.0,4.32214,11198.01,2.239602,561.0,0.1122,2.076130130343969
大台全日,0.6,勝率 > 60%,239,685,547,0.7985401459854015,20834.075,4166815.0,4.166815,3976.085,0.795217,561.0,0.1122,5.02753089892256
大台全日,0.7,勝率 > 70%,199,369,341,0.924119241192412,18244.875,3648975.0,3.648975,783.155,0.156631,146.88,0.029376,20.50489095574086
大台全日,0.8,勝率 > 80%,186,272,268,0.9852941176470588,16638.155,3327631.0,3.327631,100.05,0.02001,43.14,0.008628,167.29840079960022
大台全日,0.9,勝率 > 90%,182,247,247,1.0,15940.240000000002,3188048.0,3.188048,0.0,0.0,0.0,0.0,inf
大台全日,1.0,勝率 = 100%,182,247,247,1.0,15940.240000000002,3188048.0,3.188048,0.0,0.0,0.0,0.0,inf
